Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Bobby Portis,12,24.8,.478,.773,10.0,0.8,0.4,0.3,1.3,10.6,portibo01
Dwight Powell,18,13.8,.629,.609,2.6,0.2,0.2,0.3,0.5,3.2,poweldw01
Taurean Prince,5,13.0,.444,.857,1.6,1.2,0.4,0.2,0.8,6.0,princta02
Payton Pritchard,24,12.9,.539,.667,1.9,1.6,0.3,0.1,0.4,4.8,pritcpa01
Paul Reed,12,11.7,.556,.571,3.8,0.8,0.8,0.5,0.8,3.7,reedpa01
Naz Reid,5,10.8,.500,1.000,2.8,0.0,0.2,1.2,1.0,4.8,reidna01
Austin Rivers,5,21.6,.556,1.000,0.6,1.2,1.4,0.2,0.8,4.2,riverau01
Duncan Robinson,13,12.2,.596,.833,1.8,0.4,0.3,0.1,0.2,5.6,robindu01
D'Angelo Russell,6,32.7,.417,.750,2.5,6.7,1.5,0.0,2.8,12.0,russeda01
Landry Shamet,12,16.0,.490,.714,1.7,1.3,0.5,0.0,0.6,4.3,shamela01
Day'Ron Sharpe,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,sharpda01
Pascal Siakam,6,43.3,.495,.861,7.2,5.8,1.2,1.0,2.2,22.8,siakapa01
Marcus Smart,21,36.2,.491,.806,4.5,5.9,1.2,0.2,2.5,15.4,smartma01
Jaden Springer,5,2.6,.500,,0.8,0.4,0.0,0.0,0.0,1.2,sprinja01
Nik Stauskas,13,1.8,.375,1.000,0.3,0.3,0.0,0.0,0.0,1.0,stausni01
Max Strus,18,29.1,.503,.722,4.1,2.1,0.8,0.4,1.1,10.9,strusma01
Jayson Tatum,24,41.0,.507,.800,6.7,6.2,1.2,0.9,4.2,25.6,tatumja01
Garrett Temple,1,2.0,,,1.0,0.0,0.0,0.0,0.0,0.0,templga01
Daniel Theis,16,12.5,.618,.750,3.3,0.7,0.3,0.5,0.7,4.3,theisda01
Cam Thomas,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,thomaca02
Klay Thompson,22,36.0,.534,.867,3.9,2.3,1.1,0.7,1.3,19.0,thompkl01
Tristan Thompson,5,7.6,.400,,1.6,0.4,0.2,0.0,1.0,0.8,thomptr01
Matisse Thybulle,9,15.2,.542,.333,1.0,0.4,0.8,0.8,0.2,3.0,thybuma01
Xavier Tillman Sr.,9,15.4,.740,.500,3.3,0.7,0.7,0.1,1.1,4.4,tillmxa01
Juan Toscano-Anderson,14,3.5,.500,.333,0.7,0.6,0.1,0.1,0.6,0.8,toscaju01
Karl-Anthony Towns,6,37.0,.550,.860,10.8,2.2,0.7,2.0,4.5,21.8,townska01
Gary Trent Jr.,6,33.2,.457,.895,1.7,1.3,1.0,0.5,0.5,15.3,trentga02
P.J. Tucker,18,28.3,.601,.688,5.7,1.8,0.8,0.3,0.7,7.9,tuckepj01
Rayjon Tucker,8,2.4,.333,,0.4,0.0,0.0,0.0,0.0,0.3,tuckera01
Jonas Valančiūnas,6,29.2,.493,.769,14.3,3.0,0.7,0.2,2.0,14.5,valanjo01
Jarred Vanderbilt,6,21.5,.481,.700,7.2,0.7,1.2,0.3,0.8,5.5,vandeja01
Fred VanVleet,4,35.0,.463,.833,3.0,6.3,1.8,1.0,1.0,13.8,vanvlfr01
Luca Vildoza,7,2.4,.417,,0.3,0.6,0.3,0.0,0.0,0.7,vildolu01
Gabe Vincent,18,23.5,.477,.950,1.9,3.2,0.8,0.3,1.4,8.0,vincega01
Nikola Vučević,5,36.2,.511,.800,12.4,3.2,0.4,1.2,1.6,19.4,vucevni01
Ish Wainright,7,3.7,.542,,1.6,0.1,0.1,0.1,0.4,1.9,wainris01
Yuta Watanabe,4,2.5,.333,,0.0,0.0,0.0,0.0,0.3,1.0,watanyu01
Coby White,5,19.6,.422,.800,3.4,1.8,0.2,0.0,1.2,8.4,whiteco01
Derrick White,23,25.4,.438,.824,3.0,2.7,0.9,0.6,1.3,8.5,whitede01
Hassan Whiteside,6,10.8,.417,.250,5.2,0.0,0.3,1.3,0.0,1.8,whiteha01
Andrew Wiggins,22,34.9,.526,.646,7.5,1.8,1.0,1.0,1.4,16.5,wiggian01
Grant Williams,24,27.3,.550,.808,3.8,0.8,0.3,0.8,0.8,8.6,willigr01
Patrick Williams,5,30.6,.543,.727,5.4,0.8,1.0,0.6,1.4,11.8,willipa01
Robert Williams,17,23.2,.679,.893,6.2,1.0,0.7,2.2,0.6,7.7,williro04
Ziaire Williams,10,16.8,.548,.923,1.6,0.5,0.5,0.0,0.2,6.9,willizi02
Delon Wright,5,27.4,.603,.667,4.8,2.8,0.8,0.2,1.0,8.2,wrighde01
Thaddeus Young,6,14.5,.528,.250,3.0,1.7,0.8,0.2,0.5,3.3,youngth01
Trae Young,5,37.2,.370,.788,5.0,6.0,0.6,0.0,6.2,15.4,youngtr01
Omer Yurtseven,9,4.2,.667,.333,0.8,0.3,0.0,0.1,0.0,2.8,yurtsom01
