Player,G,MP,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Bruno Fernando,33,6.8,.409,.682,2.4,0.3,0.1,0.1,0.6,1.5,fernabr01
Yogi Ferrell,10,13.6,.430,.778,1.9,2.2,0.7,0.3,0.3,5.6,ferreyo01
Yogi Ferrell,2,20.0,.452,.000,3.5,2.5,1.5,0.5,1.5,9.5,ferreyo01
Yogi Ferrell,8,12.0,.417,1.000,1.5,2.1,0.5,0.3,0.0,4.6,ferreyo01
Dorian Finney-Smith,60,32.0,.600,.756,5.4,1.7,0.9,0.4,0.8,9.8,finnedo01
Malik Fitts,3,3.7,.500,,1.0,0.0,0.0,0.0,0.0,1.0,fittsma01
Malachi Flynn,47,19.7,.453,.804,2.5,2.9,0.8,0.1,0.9,7.5,flynnma01
Bryn Forbes,70,19.3,.618,.770,1.6,0.6,0.3,0.0,0.6,10.0,forbebr01
Trent Forrest,30,10.1,.486,1.000,1.5,1.5,0.3,0.1,0.7,2.9,forretr01
Evan Fournier,42,30.0,.565,.788,3.0,3.4,1.1,0.5,1.7,17.1,fournev01
Evan Fournier,26,30.3,.560,.797,2.9,3.7,1.0,0.3,2.1,19.7,fournev01
Evan Fournier,16,29.5,.576,.714,3.3,3.1,1.3,0.6,1.2,13.0,fournev01
De'Aaron Fox,58,35.1,.523,.719,3.5,7.2,1.5,0.5,3.0,25.2,foxde01
Robert Franks,7,14.4,.554,.923,2.0,0.7,0.4,0.4,0.3,6.1,frankro01
Tim Frazier,5,12.4,.150,.333,1.6,3.2,0.4,0.2,0.8,1.6,fraziti01
Enes Freedom,72,24.4,.605,.774,11.0,1.2,0.5,0.7,1.1,11.2,kanteen01
Markelle Fultz,8,26.9,.413,.895,3.1,5.4,1.0,0.3,2.3,12.9,fultzma01
Wenyen Gabriel,21,11.5,.508,.647,2.6,0.5,0.4,0.4,0.7,3.4,gabriwe01
Daniel Gafford,54,14.6,.684,.667,4.3,0.5,0.5,1.4,0.8,7.0,gaffoda01
Daniel Gafford,31,12.4,.690,.659,3.3,0.5,0.4,1.1,0.7,4.7,gaffoda01
Daniel Gafford,23,17.7,.681,.672,5.6,0.5,0.7,1.8,0.8,10.1,gaffoda01
Danilo Gallinari,51,24.0,.542,.925,4.1,1.5,0.6,0.2,0.8,13.3,gallida01
Langston Galloway,40,11.0,.571,.957,1.1,0.7,0.2,0.0,0.3,4.8,gallola01
Darius Garland,54,33.1,.517,.848,2.4,6.1,1.2,0.1,3.0,17.4,garlada01
Marc Gasol,52,19.1,.582,.720,4.1,2.1,0.5,1.1,1.0,5.0,gasolma01
Rudy Gay,63,21.6,.505,.804,4.8,1.4,0.7,0.6,1.0,11.4,gayru01
Paul George,54,33.7,.557,.868,6.6,5.2,1.1,0.4,3.3,23.3,georgpa01
Taj Gibson,45,20.8,.636,.727,5.6,0.8,0.7,1.1,0.5,5.4,gibsota01
Harry Giles,38,9.2,.474,.593,3.5,0.8,0.2,0.3,0.5,2.8,gilesha01
Shai Gilgeous-Alexander,35,33.7,.571,.808,4.7,5.9,0.8,0.7,3.0,23.7,gilgesh01
Anthony Gill,26,8.4,.558,.813,2.0,0.4,0.4,0.2,0.3,3.1,gillan01
Freddie Gillespie,20,19.6,.524,.697,4.9,0.5,0.7,1.0,0.6,5.6,gillefr01
Rudy Gobert,71,30.8,.675,.623,13.5,1.3,0.6,2.7,1.7,14.3,goberru01
Brandon Goodwin,47,13.2,.448,.651,1.5,2.0,0.4,0.0,0.8,4.9,goodwbr01
Aaron Gordon,50,27.7,.522,.651,5.7,3.2,0.7,0.7,1.9,12.4,gordoaa01
Aaron Gordon,25,29.4,.509,.629,6.6,4.2,0.6,0.8,2.7,14.6,gordoaa01
Aaron Gordon,25,25.9,.541,.705,4.7,2.2,0.7,0.6,1.2,10.2,gordoaa01
Eric Gordon,27,29.2,.527,.825,2.1,2.6,0.5,0.5,1.9,17.8,gordoer01
Devonte' Graham,55,30.2,.510,.842,2.7,5.4,0.9,0.1,1.5,14.8,grahade01
Jerami Grant,54,33.9,.491,.845,4.6,2.8,0.6,1.1,2.0,22.3,grantje01
Danny Green,69,28.0,.573,.775,3.8,1.7,1.3,0.8,1.0,9.5,greenda02
Draymond Green,63,31.5,.492,.795,7.1,8.9,1.7,0.8,3.0,7.0,greendr01
JaMychal Green,58,19.3,.568,.807,4.8,0.9,0.4,0.4,0.9,8.1,greenja01
Javonte Green,41,11.5,.569,.750,1.7,0.4,0.7,0.1,0.5,3.6,greenja02
Javonte Green,25,13.8,.599,.667,2.1,0.4,0.7,0.1,0.5,4.2,greenja02
Javonte Green,16,8.0,.500,1.000,1.2,0.4,0.6,0.3,0.4,2.6,greenja02
Jeff Green,68,27.0,.590,.776,3.9,1.6,0.5,0.4,0.8,11.0,greenje02
Josh Green,39,11.4,.473,.565,2.0,0.7,0.4,0.1,0.4,2.6,greenjo02
Blake Griffin,46,25.8,.509,.744,4.9,3.0,0.7,0.3,1.3,11.0,griffbl01
Blake Griffin,20,31.3,.453,.710,5.2,3.9,0.7,0.1,1.6,12.3,griffbl01
Blake Griffin,26,21.5,.574,.782,4.7,2.4,0.7,0.5,1.2,10.0,griffbl01
Kyle Guy,31,7.6,.403,.800,1.1,1.0,0.2,0.0,0.4,2.8,guyky01
Rui Hachimura,57,31.5,.513,.770,5.5,1.4,0.8,0.1,1.2,13.8,hachiru01
Ashton Hagans,2,2.0,,,0.0,0.0,0.0,0.0,0.5,0.0,haganas01
Tyrese Haliburton,58,30.1,.569,.857,3.0,5.3,1.3,0.5,1.6,13.0,halibty01
Donta Hall,13,13.8,.714,.676,4.8,0.8,0.4,0.8,0.6,5.6,halldo01
Josh Hall,21,16.0,.323,.500,2.8,1.3,0.2,0.0,1.2,4.1,halljo01
R.J. Hampton,51,17.4,.478,.671,3.5,1.7,0.4,0.2,1.0,6.9,hamptrj01
R.J. Hampton,25,9.3,.458,.750,2.0,0.6,0.2,0.1,0.4,2.6,hamptrj01
R.J. Hampton,26,25.2,.482,.657,5.0,2.8,0.6,0.3,1.6,11.2,hamptrj01
Tim Hardaway Jr.,70,28.4,.560,.816,3.3,1.8,0.4,0.2,0.9,16.6,hardati02
James Harden,44,36.6,.548,.861,7.9,10.8,1.2,0.8,4.0,24.6,hardeja01
James Harden,8,36.3,.537,.883,5.1,10.4,0.9,0.8,4.3,24.8,hardeja01
James Harden,36,36.6,.551,.856,8.5,10.9,1.3,0.8,4.0,24.6,hardeja01
Maurice Harkless,37,20.9,.488,.767,2.4,1.2,0.8,0.5,0.6,5.2,harklma01
Maurice Harkless,11,11.3,.577,.000,1.2,0.6,0.2,0.4,0.3,1.4,harklma01
Maurice Harkless,26,24.9,.480,.805,2.9,1.4,1.1,0.6,0.7,6.9,harklma01
Jared Harper,8,2.0,.000,.750,0.3,0.1,0.0,0.0,0.4,0.4,harpeja01
Montrezl Harrell,69,22.9,.622,.707,6.2,1.1,0.7,0.7,1.1,13.5,harremo01
Gary Harris,39,27.7,.470,.821,2.0,2.0,0.7,0.3,0.9,9.9,harriga01
Gary Harris,19,30.6,.519,.733,2.5,1.7,0.9,0.2,0.7,9.7,harriga01
Gary Harris,20,25.0,.429,.875,1.6,2.3,0.6,0.4,1.2,10.2,harriga01
Jalen Harris,13,13.2,.618,.778,1.4,1.3,0.6,0.0,1.1,7.4,harrija01
Joe Harris,69,31.0,.654,.778,3.6,1.9,0.7,0.2,0.9,14.1,harrijo01
Tobias Harris,62,32.5,.556,.892,6.8,3.5,0.9,0.8,1.7,19.5,harrito02
Shaquille Harrison,34,9.8,.353,.818,1.4,0.7,0.5,0.1,0.3,2.1,harrish01
